INDEX	ORIGINAL	TRANSLITERATED	PHONETIC	PARTOFSPEECH	STRONG	HTMLDEF
1606	egkrateuomai	Egkrateuomai	eng-krat-yoo'-om-ahee	Verb	1467	1. To be self-controlled, continent.\    A. To exhibit self-government, conduct, one's self temperately.\    B. In a figure drawn from athletes, who in preparing themselves for the games abstained from unwholesome food, wine, and sexual indulgence.
1607	egkrathV	Egkrates	eng-krat-ace'	Adjective	1468	1. Strong, robust.\2. Having power over, possessed of (a thing).\3. Mastering, controlling, curbing, restraining.\    A. Controlling one's self, temperate, continent.
1608	egkrinw	Egkrino	eng-kree'-no	Verb	1469	1. To reckon among, judge among.\2. To judge one worthy of being admitted to a certain class.
1609	egkruptw	Ekgrupto	eng-kroop'-to	Verb	1470	1. To conceal in something.\2. To mingle one thing with another.
1610	egkuoV	Egkuos	eng'-koo-os	Adjective	1471	Big with child, pregnant.
1611	egcriw	Egchrio	eng-khree'-o	Verb	1472	1. To rub in, besmirch, anoint.\2. To anoint one's self.
1612	egw	Ego	eg-o'		1473	I, me, my.
1613	edafizw	Edaphizo	ed-af-id'-zo	Verb	1474	1. To throw to the ground.\    A. Both of cities and buildings, to raze, level with the earth.\    B. Metaph. of men.
1614	edafoV	Edaphos	ed'-af-os	Noun Neuter	1475	Bottom, base, ground.
1615	edraioV	Hedraios	hed-rah'-yos	Adjective	1476	1. Sitting, sedentary.\2. Firm, immovable, steadfast.
1616	edraiwma	Hedraioma	hed-rah'-yo-mah	Noun Neuter	1477	A stay, prop, support.
1617	EzekiaV	Ezekias	ed-zek-ee'-as	Noun Masculine	1478	Hezekiah = "the might of Jehovah".\The twelfth king of Judah.
1618	eqeloqrhskia	Ethelothreskeia	eth-el-oth-race-ki'-ah	Noun Feminine	1479	1. Voluntary, arbitrary worship.
1619	eqizw	Ethizo	eth-id'-zo	Verb	1480	To accustomed, usage, custom.
1620	eqnarchV	Ethnarches	eth-nar'-khace	Noun Masculine	1481	An ethnarch, one set over a people as ruler, but without the authority and name of a king.
1621	eqnikoV	Ethnikos	eth-nee-kos'	Noun Masculine	1482	1. Adapted to the genius or customs of a people, peculiar to a people, national.\2. Suited to the manners or language of foreigners, strange, foreign.
1622	eqnikwV	Ethnikos	eth-nee-koce'	Adverb	1483	Like the Gentiles.
1623	eqnoV	Ethnos	eth'-nos	Noun Neuter	1484	1. A multitude (whether of men or of beasts) associated or living together.\    A. A company, troop, swarm.\2. A multitude of individuals of the same nature or genus.\    A. The human family.\3. A tribe, nation, people group.\4. In the OT, foreign nations not worshipping the God of the Jews: pagans, Gentiles.
1624	eqoV	Ethos	eth'-os	Noun Neuter	1485	1. Custom.\2. Usage prescribed by law, institute, prescription, rite.
1625	eqw	Etho	eth'-o	Verb	1486	1. To be accustomed, used, wont.\2. That which is wont.\3. Usage, custom.
1626	ei	Ei	i	Conjuncton	1487	If, whether.
1627	ei	Ei	i	Verb	1488	You are, thou art.
1628	eige	Eige	i'-gheh	Conjunction	1489	If, indeed, inasmuch, as, since.
1629	eidea	Ei	i	deh may'-(gheh)      Conjuncton	1490	Otherwise, but if not.
1630	eidon	Eidos	i'-dos	Noun Neuter	1491	1. The external or outward appearance, form figure, shape.\2. Form, kind.
1631	eidw	Eido	i'-do	Verb	1492	1. To see.\    A. To perceive with the eyes.\    B. To perceive by any of the senses.\    C. To perceive, notice, discern, discover.\    D. To see.\        1. I.E. To turn the eyes, the mind, the attention to anything.\        2. To pay attention, observe.\        3. To see about something 1d.\2. I.E. To ascertain what must be done about it.\        A. To inspect, examine.\        B. To look at, behold.\    A. To experience any state or condition.\    B. To see i.e. have an interview with, to visit.\3. To know.\    A. To know of anything.\    B. To know, i.e. get knowledge of, understand, perceive.\        1. Of any fact.\        2. The force and meaning of something which has definite meaning.\        3. To know how, to be skilled in.\    C. To have regard for one, cherish, pay attention to (1Th. 5:21).
1632	eidwleion	Eidoleion	i-do-li'-on	Noun Neuter	1493	An idol's temple, temple consecrated to idols.
1633	eidwloqutoV	Eidolothuton	i-do-loth'-oo-ton	Adjective	1494	1. Sacrificed to idols, that which is left over from the sacrifices.\    A. It was either eaten at the feasts or sold (by the poor and the miserly) in the market.
1634	eidwlolatria	Eidololatreia	i-do-lol-at-ri'-ah	Noun Feminine	1495	1. The worship of gods, the worship of idols.\    A. Of the formal sacrificial feats held in honour of gods.
1635	eidwlolatrhV	Eidololatres	i-do-lol-at'-race	Noun Masculine	1496	A worshipper of a god idol or idols; a idolater.
1636	eidwlon	Eidolon	i'-do-lon	Noun Neuter	1497	1. An image, likeness.\    A. I.E. Whatever represents the form of an object, either real or imaginary.\    B. Used of the shades of the departed, apparitions, spectres, phantoms of the mind, etc.\2. The image of a god.
1637	eihn	Eien	i'-ane	Verb	1498	To be, to exist, to happen, to be present.
1638	ei	Ei	i	kahee      Conjuncton	1499	Even, if, although.
1639	eikh	Eike	i-kay'	Adverb	1500	1. Inconsiderably, without purpose, without just cause.\2. In vain.\    A. Without success or effort.
1640	eikosi	Eikosi	i'-kos-ee	Noun	1501	Twenty.
1641	eikw	Eiko	i'-ko	Verb	1502	To yield.
1642	eikw	Eiko	i'-ko	Verb	1503	To be like.
1643	eikwn	Eikon	i-kone'	Noun Feminine	1504	1. An image, figure, likeness.\    A. An image of the things (the heavenly things).\        1. Used of the moral likeness of renewed men to God.\        2. The image of the Son of God, into which Christians are transformed, is likeness not only to the heavenly body, but also to the most holy and blessed state of mind, which Christ possesses.\    B. The image of one.\        1. One in whom the likeness of any one is seen.\        2. Applied to man on account of his power of command.
1644	eilikrineia	Heilikrineia	i-lik-ree'-ni-ah	Noun Feminine	1505	Purity, sincerity, ingenuousness.
1645	eilikrinhV	Heilikrines	i-lik-ree-nace'	Adjective	1506	1. Pure, sincere, unsullied.\2. Found pure when unfolded and examined by the sun's light.
1646	eilissw	Heilisso	hi-lis'-so	Verb	1507	To roll up or together.
1647	ei	Ei	i	may      Conjuncton	1508	If not, except, but.
1648	ei	Ei	i	may tee      Conjuncton	1509	Unless indeed, except, unless perhaps.
1649	eimi	Eimi	i-mee'	Verb	1510	To be, to exist, to happen, to be present.
1650	einai	Einai	i'-nahee	Verb	1511	To be, to exist, to happen, to be present.
1651	eiper	Ei	i	per      Conjuncton	1512	If indeed, since, if after all.
1652	eipon	Ei	i	poce      Conjuncton	1513	If indeed, since, if after all.
1653	eirhneuw	Eireneuo	i-rane-yoo'-o	Verb	1514	1. To make peace.\2. To cultivate or keep peace, harmony.\3. To be at peace, live in peace.
1654	eirhnh	Eirene	i-ray'-nay	Noun Feminine	1515	1. A state of national tranquillity.\    A. Exemption from the rage and havoc of war.\2. Peace between individuals, i.e. harmony, concord.\3. Security, safety, prosperity, felicity, (because peace and harmony make and keep things safe and prosperous).
1655	eirhnikoV	Eirenikos	i-ray-nee-kos'	Adjective	1516	1. Relating to peace.\2. Peaceable, pacific, loving peace.\3. Bring peace with it, peaceful, salutary.
1656	eirhnopoiew	Eirenopoieo	i-ray-nop-oy-eh'-o	Verb	1517	To make peace, establish harmony.
1657	eirhnopoioV	Eirenopoios	i-ray-nop-oy-os'	Adjective	1518	1. A peacemaker.\2. Pacific, loving peace.
1658	eiV	Eis	ice	Preposition	1519	Unto, to, towards, for, among.
1659	eiV	Heis	hice		1520	One.
1660	eisagw	Eisago	ice-ag'-o	Verb	1521	1. To lead in.\2. To bring in, the place into which not being expressly stated.
1661	eisakouw	Eisakouo	ice-ak-oo'-o	Verb	1522	1. To give heed to, comply with admonition, to obey.\2. To listen to, assent to, a request, to be heard, have request granted.\    A. Of persons offering prayers to God.\    B. Of prayers offered up.
1662	eisdecomai	Eisdechomai	ice-dekh'-om-ahee	Verb	1523	To receive kindly, to treat with favour.
1663	eiseimi	Eiseimi	ice'-i-mee	Verb	1524	To go into, enter.
1664	eisercomai	Eiserchomai	ice-er'-khom-ahee	Verb	1525	1. To go out or come in: to enter.\    A. Of men or animals, as into a house or a city.\    B. Of things: as food, that enters into the eater's mouth.\2. Metaph.\    A. Of entrance into any condition, state of things, society, employment.\        1. To arise, come into existence, begin to be.\        2. Of men, to come before the public.\        3. To come into life.\    B. Of thoughts that come into the mind.
1665	eisi	Eisi	i-see'	Verb	1526	Are, be, were, etc.
1666	eiV	Heis	hice	kath	1527	1. One.\2. One after another.
1667	eiskaleomai	Eiskaleo	ice-kal-eh'-o	Verb	1528	To call into one's self, to invite in to one's house.
1668	eisodoV	Eisodos	ice'-od-os	Noun Feminine	1529	1. An entrance.\    A. The place or way leading into a place (as a gate).\    B. The act of entering.
1669	eisphdaw	Eispedao	ice-pay-dah'-o	Verb	1530	To spring in, to rush in impetuously.
1670	eisporeuomai	Eisporeuomai	ice-por-yoo'-om-ahee	Verb	1531	1. To go into, enter.\    A. Of persons.\    B. Of things.\        1. To be carried into or put into.\        2. As food into a mouth.\2. Metaph. of affections entering the soul.
1671	eistrecw	Eistrecho	ice-trekh'-o	Verb	1532	To run in.
1672	eisferw	Eisphero	ice-fer'-o	Verb	1533	1. To bring into, in or to.\2. To lead into.
1673	eita	Eita	i'-tah	Adverb	1534	1. Then.\2. Next, after that.
1674	eite	Eite	i'-teh	Conjunction	1535	1. If ... if.\2. Whether ... or.
1675	ei	Ei	i	ts	1536	Whoever, whatever.
1676	ek	Ek	ek	Preposition	1537	Out of, from, by, away from.
1677	ekastoV	Hekastos	hek'-as-tos	Adjective	1538	Each, every.
1678	ekastote	Hekastote	hek-as'-tot-eh	Adverb	1539	At every time, always.
1679	ekaton	Hekaton	hek-at-on'	Noun	1540	A hundred.
1680	ekatontaethV	Hekatontaetes	hek-at-on-tah-et'-ace	Adjective	1541	Centenarian, a hundred years old.
1681	ekatontaplasiwn	Hekatontaplasion	hek-at-on-ta-plah-sec'-own	Adjective	1542	Hundredfold, a hundred times as much.
1682	ekatontarchV	Hekatontarches	hek-at-on-tar'-khace	Noun Masculine	1543	An officer in the Roman army.
1683	ekbainw	Ekballo	ek-bal'-lo	Verb	1544	1. To cast out, drive out, to send out.\    A. With notion of violence.\        1. To drive out (cast out).\        2. To cast out 1a.\    B. Of the world, i.e. be deprived of the power and influence he exercises in the world 1a.\    C. A thing: excrement from the belly into the sink.\        A. To expel a person from a society: to banish from a family.\        B. To compel one to depart; to bid one depart, in stern though not violent language.\        C. So employed that the rapid motion of the one going is transferred to the one sending forth 1a.\2. To command or cause one to depart in haste.\        A. To draw out with force, tear out.\        B. With implication of force overcoming opposite force 1a.\    A. To cause a thing to move straight on its intended goal.\        A. To reject with contempt, to cast off or away.\    B. Without the notion of violence.
1684	ekbasiV	Ekbasis	ek'-bas-is	Noun Feminine	1545	1. An egress, way out, exit.\    A. Applied figuratively to the way of escape from temptation.\2. The issue referring to the end of one's life.\    A. Heb 13:7 refers not only to end of physical life, but the manner in which they closed a well spent life as exhibited by their spirit in dying.
1685	ekbolh	Ekbole	ek-bol-ay'	Noun Feminine	1546	1. A casting out.\2. The throwing overboard of goods and lading whereby sailors lighten a ship in a storm to keep her from sinking.
1686	ekgamizw	Ekgamizo	ek-gam-id'-zo	Verb	1547	1. To give away in marriage: a daughter.\2. To marry, to be given in marriage.
1687	ekgamiskw	Ekgamisko	ek-gam-is'-ko	Verb	1548	1. To give away in marriage: a daughter.\2. To marry, to be given in marriage.
1688	ekgonoV	Ekgonon	ek'-gon-on	Adjective	1549	1. Sprung from one, born, begotten.\2. A son, daughter, offspring, children, descendants.\3. Grandchildren.
1689	ekdapanaw	Ekdapanao	ek-dap-an-ah'-o	Verb	1550	1. To exhaust by expending, to spend wholly, use up.\2. To spend one's self wholly.
1690	ekdecomai	Ekdechomai	ek-dekh'-om-ahee	Verb	1551	1. To receive, accept.\2. To look for, expect, wait for, await.
1691	ekdhloV	Ekdelos	ek'-day-los	Adjective	1552	Evident, clear, conspicuous.
1692	ekdhmew	Ekdemeo	ek-day-meh'-o	Verb	1553	1. To go abroad.\2. Emigrate, depart.\3. To be or live abroad.
1693	ekdidwmi	Ekdidomi	ek-did-o'-mee	Verb	1554	1. To give out of one's house, power, hand, stores.\2. To give out, give up, give over.\3. To let out for hire.\4. To farm out.\5. To let out for one's advantage.
1694	ekdihgeomai	Ekdiegeomai	ek-dee-ayg-eh'-om-ahee	Verb	1555	1. To narrate in full or wholly.\2. To relate, tell, declare.
1695	ekdikew	Ekdikeo	ek-dik-eh'-o	Verb	1556	1. To vindicate one's right, do one justice.\    A. To protect, defend, one person from another.\2. To avenge a thing.\    A. To punish a person for a thing.
1696	ekdikhsiV	Ekdikesis	ek-dik'-ay-sis	Noun Feminine	1557	A revenging, vengeance, punishment.
1697	ekdikoV	Ekdikos	ek'-dik-os	Adjective	1558	1. Without law and justice.\2. Exacting penalty from one.\    A. An avenger, punisher.
1698	ekdiwkw	Ekdioko	ek-dee-o'-ko	Verb	1559	1. To drive out, banish.\2. To pursue.\    A. To persecute, oppress with calamities.
1699	ekdotoV	Ekdotos	ek'-dot-os	Adjective	1560	1. Given over, delivered up.\    A. To enemies, or to the power, the will, of some one.
1700	ekdoch	Ekdoche	ek-dokh-ay'	Noun Feminine	1561	1. The act or manner of receiving from.\    A. Reception.\    B. Succession.\    C. Interpretation.\    D. Expectation, waiting.
1701	ekduw	Ekduo	ek-doo'-o	Verb	1562	1. To take off.\    A. To strip one of his garments.\2. To take off from one's self, to put off the one's raiments.\3. Fig., to put off the body, the clothing of the soul.
1702	ekei	Ekei	ek-i'	Adverb	1563	There, in or to that place.
1703	ekeiqen	Ekeithen	ek-i'-then	Adverb	1564	Thence, from that place.
1704	ekeinoV	Ekeinos	ek-i'-nos		1565	He, she it, etc.
1705	ekeise	Ekeise	ek-i'-seh	Adverb	1566	There, at that place.
1706	ekzhtew	Ekzeteo	ek-zay-teh'-o	Verb	1567	1. To seek out, search for.\2. To seek out, i.e. investigate, scrutinise.\3. To seek out for one's self, beg, crave.\4. To demand back, require.
1707	ekqambew	Ekthambeo	ek-tham-beh'-o	Verb	1568	1. To throw into terror or amazement.\    A. To alarm thoroughly, to terrify.\2. To be struck with amazement.\    A. To be thoroughly amazed, astounded.\    B. To be struck with terror.
1708	ekqamboV	Ekthambos	ek'-tham-bos	Adjective	1569	1. Quite astonished, amazed.\2. Terrifying, dreadful.\3. Wonder or marvel greatly.
1709	ekqetoV	Ekthetos	ek'-thet-os	Adjective	1570	Cast out, exposed.
1710	ekkaqairw	Ekkathairo	ek-kath-ah'-ee-ro	Verb	1571	To cleanse out, clean thoroughly, to cleanse.
1711	ekkaiw	Ekkaio	ek-kah'-yo	Verb	1572	1. To burn out.\2. To set on fire.\3. To be kindled, to burn.
1712	ekkakew	Ekkakeo	ek-kak-eh'-o	Verb	1573	To be utterly spiritless, to be wearied out, exhausted.
1713	ekkentew	Ekkenteo	ek-ken-teh'-o	Verb	1574	1. To put out, dig out.\2. To dig through, transfix, pierce.
1714	ekklaw	Ekklao	ek-klah'-o	Verb	1575	To break off, to cut off.
1715	ekkleiw	Ekkleio	ek-kli'-o	Verb	1576	1. To shut out, to turn out of doors.\2. To prevent the approach of one.
1716	ekklhsia	Ekklesia	ek-klay-see'-ah	Noun Feminine	1577	1. A gathering of citizens called out from their homes into some public place, an assembly.\    A. An assembly of the people convened at the public place of the council for the purpose of deliberating.\    B. The assembly of the Israelites.\    C. Any gathering or throng of persons assembled by chance, tumultuously.
